german,italian
wenigstens,almeno
Bank,panchina
sitzen,sedere
regnen,piovere
dann,poi
vielleicht,forse
niemand,non…nessuno
nichts,non…niente
auch nicht,non...neanche
nicht einmal,non...nemmeno
niemals,non…mai
nie mehr,non...più
noch nicht,non...anchora
nirgends,non...da nessuna parte
"doch nicht, gar nicht",non mica
wirklich (nicht),non...proprio
Park,parco
Wald,bosco
See,lago
Baum,albero
Himmel,cielo
Meer,mare
Sonne,sole
Mond,luna
Blume,fiore
leicht,leggero
schwer,"pesante, difficile"
kompliziert,complicato
facile,einfach
ob,se
weder noch,né né
aber,bensi
sowohl als auch,"sia...che, sia...sia"
Unterschied,differenza
seit,da
von,di
in,in
mit,con
über,su
"für, durch",per
zwischen/entlang,tra/fra
Blut,sangue
Ehemann,marito
Rühreier,uova strapazzate
"wenn, ob",se
"nätürlich, sich",certo
in Wirklichkeit,in realtà
beginnen ,cominciare
weiterführen,continuare
für gewöhnlich,di solito
Tätigkeit,attività
nun,adesso
nun,ora
Gast,ospite
hingegen,invece
häufig,spesso
zum Beispiel,par esempio
"lieb, teuer",caro
"nett, freundlich",gentile
warten,aspettare
"andere(r, -s)",altro
Experte,esperto
"so, derart",cosi
"Hotel, Gasthof",albergo
Ausländer,stranieri
seltsam,strano
Adresse,indirizzo
baden,fare il bagno
apropos,a proposito
offensichtlich,ovviamente
Erfolg,successo
bevorzugen,preferire
plötzlich,improvvisamente
Zimmer,camera
verwirrt,perplessi
Treppe,scala
in Ordnung,a ordine
Stockwerk,piano
in Ordnung sein,essere a posto
Scherz,scherzo
noch,ancora
schreien,gridare
ohne,senza
tot,morto
schon,già
kontrollieren,controllare
entlang,lungo
bevorzugen,preferire
außer,tranne
trotz,nonostante
gegen,contro
"nach, entgegen",verso
einige,alcuni
Bis wann?,Fino a quando
bedeuten,significare
Raub,rapina
genau,preciso
hinuntergehen,scendere
Eingang,entrata
geschlossen,chiuso
Lift,ascensore
bemerken,notare
Unbekannter,sconosciuto
sagen,dire | dico | avere detto
Uhrzeit,ora
Uhr,orologio
Was sagst du dazu,che ne dici
"laut, gemäß",secondo
sollen,dovere
ich soll,devo
Lass uns gehen,andiamo
"können, dürfen",potere
"ich kann, darf",posso
Mittagszeit,mezzogiorno
Mitternacht,mezzanotte
mehr oder weniger,piu o meno
sofort,subito
aber,però
dieser,questo
nehmen,prendere | prendo | avere / essere preso
getrunken,bevuto
gewesen,stato
gemacht,fatto
gelesen,letto
genommen,preso
geschrieben,scritto
gesehen,vista
kurz,breve
Praktikum,tirocinio
wunderschön,belissimo
verführerisch,seducente
umziehen,translocare
brauchen,avere bisogno di
entschuldigung,spiacente
sembrare,scheinen
Parameteroptimierung,Ottimizzazione dei parametri
erfordern,richiedere
Wort,parola
zurückkommen,tornare | torno | essere tornato
Mörder,assassino
versuchen etwas zu tun,cercare di fare qc.
vergewaltigen,violentare
aber,peró
wirklich,davvero
lange Haare,I capelli lunghi
verheiratet,sposato
wirklich,veramente
ein bisschen,un pochino
Gramm,grammo
Messung,misure
folgen,seguire
nicht wirklich,non proprio
meinen,intendere | intendo |avere inteso
Fremder,straniero
schließen,chiudere | chiudo | avere chiuso
sein,essere | sono | essere stato
sterben,morire | muoio | essere morto
wechseln / ändern,cambiare | cambio | avere / essere cambiato
jeder,ogni
vielleicht,tanto
jung,giovane
kurz und gut,insomma
Erfahrung,esperienza
Freundschaft,amicizia
"arm, bedauernswert",povero
Was hat es damit zu tun,cosa c’entra
erinnern,ricordare | ricordo | avere ricordato
"also, daher",quindi
einkaufen (Lebensmittel),fare la speza
Kasse,cassa
Bahnhof,stazione
Koffer,valigie
Strand,spiaggia
Verdacht,sospetto
menschlich,umano
"schmerzen, wehtun",dolere
Durst haben,avere sete
kein,nessuno
an der Wade,a mezza gamba
Hintern,sedere
Schulter,spalla
Finger,dito
Mehrzahl,plurale
Gitarre,chitarra
Haut,pelle
Haut-,cutaneo
Brust,petto
